# value-aliases.tsv -- canonical<TAB>alias<TAB>disposition{derive|delete|keep-distinct}[ # comment]
# Enforced by automation/98-drift-checks.sh::check_value_aliases (WS-DEDUP AGY-858):
#   * derive / delete : the two keys MUST resolve to the SAME value (a divergence is a
#                       silent SSOT bug the de-dup campaign must fix, not hide).
#   * keep-distinct   : the two keys MUST resolve DIFFERENTLY (a "false-friend" alias-shaped
#                       pair that a naive name-based collapse would corrupt -- pinned here so
#                       the AGY-856..930 collapse can never silently merge them).
# Seeded from reference/audit-value-dup-report.md (measured). Grows via mios-dup-report (AGY-856).
# A pair whose keys are not both emitted is skipped (informational), so the gate never
# false-fails on a platform that does not surface a key.
MIOS_PATHS_AI_MCP_DIR	MIOS_AI_MCP_DIR	derive	# family 7 path
MIOS_PATHS_AI_MEMORY_DIR	MIOS_AI_MEMORY_DIR	derive	# family 7 path
MIOS_PATHS_AI_MODELS_DIR	MIOS_AI_MODELS_DIR	derive	# family 7 path
MIOS_PATHS_AI_SCRATCH_DIR	MIOS_AI_SCRATCH_DIR	derive	# family 7 path
MIOS_PATHS_CMD_EXE	MIOS_CMD_EXE	derive	# family 7 path
MIOS_PATHS_CODEMODE_WORKSPACE_ROOT	MIOS_CODEMODE_WORKSPACE_ROOT	derive	# family 7 path
MIOS_PATHS_CODERUN_SNAPSHOTS_ROOT	MIOS_CODERUN_SNAPSHOTS_ROOT	derive	# family 7 path
MIOS_PATHS_CODERUN_WORKSPACE_ROOT	MIOS_CODERUN_WORKSPACE_ROOT	derive	# family 7 path
MIOS_PATHS_EVERYTHING_CLI	MIOS_EVERYTHING_CLI	derive	# family 7 path
MIOS_PATHS_EVERYTHING_CLI_VERSION	MIOS_EVERYTHING_CLI_VERSION	derive	# family 7 path
MIOS_PATHS_INSTALL_ENV	MIOS_INSTALL_ENV	derive	# family 7 path
MIOS_PATHS_LAUNCHER_SOCKET	MIOS_LAUNCHER_SOCKET	derive	# family 7 path
MIOS_PATHS_PROFILE_TOML_HOST	MIOS_PROFILE_TOML_HOST	derive	# family 7 path
MIOS_PATHS_PROFILE_TOML_VENDOR	MIOS_PROFILE_TOML_VENDOR	derive	# family 7 path
MIOS_A2O_CLAUDE_EFFORT_FLAG	MIOS_FRONTIER_CLAUDE_EFFORT_FLAG	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_A_EFFORT	MIOS_FRONTIER_LANE_A_EFFORT	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_A_ENGINE	MIOS_FRONTIER_LANE_A_ENGINE	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_A_MODEL	MIOS_FRONTIER_LANE_A_MODEL	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_A_ROLE	MIOS_FRONTIER_LANE_A_ROLE	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_EFFORT	MIOS_FRONTIER_LANE_B_EFFORT	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_ENGINE	MIOS_FRONTIER_LANE_B_ENGINE	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_FALLBACK_EFFORT	MIOS_FRONTIER_LANE_B_FALLBACK_EFFORT	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_FALLBACK_ENGINE	MIOS_FRONTIER_LANE_B_FALLBACK_ENGINE	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_FALLBACK_MODEL	MIOS_FRONTIER_LANE_B_FALLBACK_MODEL	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_MODEL	MIOS_FRONTIER_LANE_B_MODEL	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_PREFER_FALLBACK	MIOS_FRONTIER_LANE_B_PREFER_FALLBACK	derive	# family 6 a2o/frontier
MIOS_A2O_LANE_B_ROLE	MIOS_FRONTIER_LANE_B_ROLE	derive	# family 6 a2o/frontier
MIOS_A2O_ORCH_EFFORT	MIOS_FRONTIER_ORCH_EFFORT	derive	# family 6 a2o/frontier
MIOS_A2O_ORCH_ENGINE	MIOS_FRONTIER_ORCH_ENGINE	derive	# family 6 a2o/frontier
MIOS_A2O_ORCH_MODEL	MIOS_FRONTIER_ORCH_MODEL	derive	# family 6 a2o/frontier
MIOS_A2O_STREAM_PATH	MIOS_FRONTIER_STREAM_PATH	derive	# family 6 a2o/frontier
MIOS_PGVECTOR_	MIOS_PG_	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_BACKFILL_BATCH	MIOS_PG_BACKFILL_BATCH	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_BACKUP_DIR	MIOS_PG_BACKUP_DIR	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_BACKUP_ENABLE	MIOS_PG_BACKUP_ENABLE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_BACKUP_KEEP	MIOS_PG_BACKUP_KEEP	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_DATA_DIR	MIOS_PG_DATA_DIR	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_DB	MIOS_PG_DB	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_EMBED_MODEL	MIOS_PG_EMBED_MODEL	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_EMB_MODEL	MIOS_PG_EMB_MODEL	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_EMB_VERSION	MIOS_PG_EMB_VERSION	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_ENABLE	MIOS_PG_ENABLE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_HNSW_ITERATIVE_SCAN	MIOS_PG_HNSW_ITERATIVE_SCAN	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_HNSW_MAX_SCAN_TUPLES	MIOS_PG_HNSW_MAX_SCAN_TUPLES	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_HNSW_SCAN_MEM_MULTIPLIER	MIOS_PG_HNSW_SCAN_MEM_MULTIPLIER	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_HOST	MIOS_PG_HOST	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_LISTEN_LOOPBACK	MIOS_PG_LISTEN_LOOPBACK	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_MEMGUARD_JUDGE_MODE	MIOS_PG_MEMGUARD_JUDGE_MODE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_MEMORY_GUARD_MODE	MIOS_PG_MEMORY_GUARD_MODE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_MEMORY_PROVIDER	MIOS_PG_MEMORY_PROVIDER	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_PASS	MIOS_PG_PASS	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_POOL_ENABLE	MIOS_PG_POOL_ENABLE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_POOL_MAX	MIOS_PG_POOL_MAX	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_POOL_MIN	MIOS_PG_POOL_MIN	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_RLS_MODE	MIOS_PG_RLS_MODE	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_SCHEMA_INIT	MIOS_PG_SCHEMA_INIT	derive	# family 3 pgvector/pg
MIOS_PGVECTOR_SCRATCH_PERSIST	MIOS_PG_SCRATCH_PERSIST	derive	# family 3 pgvector/pg
MIOS_ROUTING_BOOLEAN_PARAM_KEYWORDS	MIOS_BOOLEAN_PARAM_KEYWORDS	derive	# family 4 routing
MIOS_ROUTING_BROWSER_ACTION_VERBS	MIOS_BROWSER_ACTION_VERBS	derive	# family 4 routing
MIOS_ROUTING_COMPOUND_ACTIONS	MIOS_COMPOUND_ACTIONS	derive	# family 4 routing
MIOS_ROUTING_COMPOUND_CONJUNCTIONS	MIOS_COMPOUND_CONJUNCTIONS	derive	# family 4 routing
MIOS_ROUTING_COMPOUND_CONNECTIVES	MIOS_COMPOUND_CONNECTIVES	derive	# family 4 routing
MIOS_ROUTING_INTEGER_PARAM_KEYWORDS	MIOS_INTEGER_PARAM_KEYWORDS	derive	# family 4 routing
MIOS_ROUTING_LAUNCH_FILLER_PHRASES	MIOS_LAUNCH_FILLER_PHRASES	derive	# family 4 routing
MIOS_ROUTING_LAUNCH_FOLLOWUP_PHRASES	MIOS_LAUNCH_FOLLOWUP_PHRASES	derive	# family 4 routing
MIOS_ROUTING_LAUNCH_RETRY_PHRASES	MIOS_LAUNCH_RETRY_PHRASES	derive	# family 4 routing
MIOS_ROUTING_LAUNCH_TARGET_LEAD_PHRASES	MIOS_LAUNCH_TARGET_LEAD_PHRASES	derive	# family 4 routing
MIOS_ROUTING_LAUNCH_TARGET_TRAIL_PHRASES	MIOS_LAUNCH_TARGET_TRAIL_PHRASES	derive	# family 4 routing
MIOS_ROUTING_LOCATION_SENSITIVE_PHRASES	MIOS_LOCATION_SENSITIVE_PHRASES	derive	# family 4 routing
MIOS_ROUTING_MODEL_MODALITIES_EMBEDDINGS	MIOS_MODEL_MODALITIES_EMBEDDINGS	derive	# family 4 routing
MIOS_ROUTING_MODEL_MODALITIES_IMAGE	MIOS_MODEL_MODALITIES_IMAGE	derive	# family 4 routing
MIOS_ROUTING_PREFILTER_CLASSIFY_TIMEOUT_S	MIOS_PREFILTER_CLASSIFY_TIMEOUT_S	derive	# family 4 routing
MIOS_ROUTING_PREFILTER_CONVERSATIONAL_BYPASS_MODE	MIOS_PREFILTER_CONVERSATIONAL_BYPASS_MODE	derive	# family 4 routing
MIOS_ROUTING_REMEMBER_TRIGGER_PHRASES	MIOS_REMEMBER_TRIGGER_PHRASES	derive	# family 4 routing
MIOS_ROUTING_ROUTER_ENABLE	MIOS_ROUTER_ENABLE	derive	# family 4 routing
MIOS_ROUTING_WEB_SEARCH_TRIGGER_CONTEXTS	MIOS_WEB_SEARCH_TRIGGER_CONTEXTS	derive	# family 4 routing
MIOS_ROUTING_WEB_SEARCH_TRIGGER_PHRASES	MIOS_WEB_SEARCH_TRIGGER_PHRASES	derive	# family 4 routing
MIOS_SERVICES_ADGUARD_GID	MIOS_ADGUARD_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_ADGUARD_UID	MIOS_ADGUARD_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_ADGUARD_USER	MIOS_ADGUARD_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_AGENT_PIPE_GID	MIOS_AGENT_PIPE_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_AGENT_PIPE_UID	MIOS_AGENT_PIPE_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_AGENT_PIPE_USER	MIOS_AGENT_PIPE_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_CEPH_GID	MIOS_CEPH_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_CEPH_UID	MIOS_CEPH_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_CEPH_USER	MIOS_CEPH_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_FORGE_GID	MIOS_FORGE_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_FORGE_UID	MIOS_FORGE_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_FORGE_USER	MIOS_FORGE_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_HERMES_GID	MIOS_HERMES_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_HERMES_UID	MIOS_HERMES_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_HERMES_USER	MIOS_HERMES_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_LLAMACPP_GID	MIOS_LLAMACPP_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_LLAMACPP_UID	MIOS_LLAMACPP_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_LLAMACPP_USER	MIOS_LLAMACPP_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_OPEN_WEBUI_GID	MIOS_OPEN_WEBUI_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_OPEN_WEBUI_UID	MIOS_OPEN_WEBUI_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_OPEN_WEBUI_USER	MIOS_OPEN_WEBUI_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_PGVECTOR_GID	MIOS_PGVECTOR_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_PGVECTOR_UID	MIOS_PGVECTOR_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_PGVECTOR_USER	MIOS_PGVECTOR_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_SEARXNG_GID	MIOS_SEARXNG_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_SEARXNG_UID	MIOS_SEARXNG_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_SEARXNG_USER	MIOS_SEARXNG_USER	derive	# family 2 service-acct identity
MIOS_SERVICES_WEBTOOLS_GID	MIOS_WEBTOOLS_GID	derive	# family 2 service-acct identity
MIOS_SERVICES_WEBTOOLS_UID	MIOS_WEBTOOLS_UID	derive	# family 2 service-acct identity
MIOS_SERVICES_WEBTOOLS_USER	MIOS_WEBTOOLS_USER	derive	# family 2 service-acct identity
MIOS_STORAGE_CEPHFS_AUTOMOUNT_ENABLE	MIOS_CEPHFS_AUTOMOUNT_ENABLE	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_AUTOMOUNT_IDLE_TIMEOUT_S	MIOS_CEPHFS_AUTOMOUNT_IDLE_TIMEOUT_S	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_CLIENT_CACHE_SIZE	MIOS_CEPHFS_CLIENT_CACHE_SIZE	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_CLIENT_READAHEAD_MAX_BYTES	MIOS_CEPHFS_CLIENT_READAHEAD_MAX_BYTES	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_CLIENT_RECONNECT_STALE_INTERVAL	MIOS_CEPHFS_CLIENT_RECONNECT_STALE_INTERVAL	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_CLUSTER_NAME	MIOS_CEPHFS_CLUSTER_NAME	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_DATA_POOL_BULK	MIOS_CEPHFS_DATA_POOL_BULK	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_DATA_POOL_HOT	MIOS_CEPHFS_DATA_POOL_HOT	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_ENABLE	MIOS_CEPHFS_ENABLE	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_FS_NAME	MIOS_CEPHFS_FS_NAME	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_KEYRING_DIR	MIOS_CEPHFS_KEYRING_DIR	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB	MIOS_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_MDS_SESSION_CAP_MAX	MIOS_CEPHFS_MDS_SESSION_CAP_MAX	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_METADATA_POOL	MIOS_CEPHFS_METADATA_POOL	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_MONITORS	MIOS_CEPHFS_MONITORS	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_MOUNT_OPTIONS	MIOS_CEPHFS_MOUNT_OPTIONS	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_PROVISION_SCRIPT	MIOS_CEPHFS_PROVISION_SCRIPT	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_SUBVOLUME_MODE	MIOS_CEPHFS_SUBVOLUME_MODE	derive	# family 5 cephfs
MIOS_STORAGE_CEPHFS_TENANT_ID	MIOS_CEPHFS_TENANT_ID	derive	# family 5 cephfs
MIOS_PORTS_SSH	MIOS_SSH_PORT	keep-distinct	# family 1 false-friend: 8222=actual host sshd, 2222=reserved canonical operator-SSH port (mios.toml:7906)
MIOS_PG_USER	MIOS_PGVECTOR_USER	derive
