# var-closure-baseline.tsv -- ratcheted exemption ledger for
# automation/98-drift-checks.sh::check_var_closure (Law 9 ONE-CANONICAL-NAME, T-1052).
#
# WHAT THE GATE ASSERTS
#   Referenced is a subset of emitted: every MIOS_* a consumer reads is a name
#   the SSOT resolver emits.  The tree still violates that, so the gate RATCHETS
#   rather than blocking: every referenced-but-unemitted name that exists now is
#   recorded below with a sample location, and the count is pinned by the
#   ceiling.  (The count lives in #!ceiling, not in this prose, which went stale
#   at 425 while the ledger drained.)
#
#   EMITTED also covers a name supplied by a tracked .env projection named in
#   [laws.projection_registry].surfaces, because a consumer that sources one
#   gets the var without the resolver cascade.  That makes this gate depend on
#   check_ipa_enroll_projection, which is what proves such a file is a faithful
#   projection of its SSOT table rather than hand-written (T-1054).
#
#   VIOLATION if a name appears that is not recorded here -- a consumer would
#   read an unset variable;
#   VIOLATION if the count differs from the ceiling in either direction;
#   VIOLATION if the ledger, the resolver or python3 is missing or fails.
#
#   Why this ledger exists at all: until T-1052 the check scanned with an
#   INTERNAL_PATHS list that skipped usr/lib/mios, usr/libexec/mios, tools,
#   automation, config, docs, installation, usr/share/mios and var/lib/mios --
#   between them every tree a consumer lives in.  It reported
#   "emitted=2879 referenced=0 missing=0  PASS" on every run.  There was no
#   input that could make it fail.  Turning the scan on surfaced these at once;
#   pinning them is how the gate goes live without a 425-item rewrite first.
#
#   Do NOT add a row to silence a new name.  Either emit it from the SSOT
#   cascade or stop referencing it.
#
# COMPARISON IS BY NAME ONLY
#   The second column is a sample location and is informational -- line numbers
#   move.  The gate compares the NAME set and the count.
#
# CEILING
#   #!ceiling is the number of names and it is EXACT.  More is a regression.
#   FEWER is also a failure: fixing a name must be paid for by tightening this
#   number in the same commit, which is how a ledger drains instead of settling.
#
#!ceiling 413
#
# name	sample location
MIOS_ADMIT_ENABLE	usr/lib/mios/agent-pipe/server.py:607
MIOS_GITHUB_TOKEN	build-mios.ps1:3438
MIOS_GIT_BRANCH	build-mios.ps1:2666
MIOS_GIT_CACHE	build-mios.ps1:2667
MIOS_GIT_ORIGIN	build-mios.ps1:2665
MIOS_GLOBAL_CONCURRENCY	usr/lib/mios/agent-pipe/server.py:482
MIOS_GUACD_GID	tools/generate-pod-quadlets.py:465
MIOS_GUACD_UID	tools/generate-pod-quadlets.py:464
MIOS_HEADLESS	usr/lib/mios/mios_toml.py:713
MIOS_HIDPI_SCALE_FACTOR	usr/lib/mios/agent-pipe/server.py:3824
MIOS_HYBRID_ISO_HEADER	usr/libexec/mios/build/liveiso.py:62
MIOS_IMG_RECHUNK	tools/lib/generate-sbom.py:85
MIOS_INSTALL_LOG	automation/build-mios.sh:27
MIOS_INSTALL_MODE	automation/01-system-files-overlay.sh:171
MIOS_IPA_AUTOMOUNT	usr/libexec/mios/mios-freeipa-enroll.sh:35
MIOS_IPA_HOSTNAME	usr/libexec/mios/mios-freeipa-enroll.sh:33
MIOS_IPA_NTP	usr/libexec/mios/mios-freeipa-enroll.sh:34
MIOS_IPA_OTP	usr/libexec/mios/mios-freeipa-enroll.sh:38
MIOS_K3S_FILTER	tools/generate-k3s-manifests.sh:9
MIOS_K3S_OUT	tools/generate-k3s-manifests.ps1:7
MIOS_KB_COLLECTION	var/lib/mios/embeddings/ingest_local.py:83
MIOS_KERNEL_DISPATCH	usr/lib/mios/agent-pipe/server.py:3049
MIOS_KERNEL_ROUTE	usr/lib/mios/agent-pipe/server.py:3044
MIOS_KV_FORK	usr/lib/mios/agent-pipe/server.py:1225
MIOS_KV_FORK_MAX_BRANCHES	usr/lib/mios/agent-pipe/server.py:1228
MIOS_KV_GC	usr/lib/mios/agent-pipe/server.py:1230
MIOS_KV_GC_INTERVAL_S	usr/lib/mios/agent-pipe/server.py:1233
MIOS_KV_GC_MAX_BYTES	usr/lib/mios/agent-pipe/server.py:1235
MIOS_KV_GC_TTL_S	usr/lib/mios/agent-pipe/server.py:1234
MIOS_KV_PAGING	usr/lib/mios/agent-pipe/server.py:1216
MIOS_KV_PAGING_HINTS	usr/lib/mios/agent-pipe/mios_endpoints.py:55
MIOS_KV_PAGING_SLOT	usr/lib/mios/agent-pipe/server.py:1219
MIOS_KV_PAGING_TIMEOUT	usr/lib/mios/agent-pipe/server.py:1221
MIOS_KV_SLOTS_DIR	usr/lib/mios/agent-pipe/server.py:1236
MIOS_KV_SLOT_PERSIST	usr/lib/mios/agent-pipe/mios_pipe/kernel/config.py:321
MIOS_LANE_PRIORITY	usr/lib/mios/agent-pipe/mios_pipe/vram_scheduler.py:68
MIOS_LANE_TOOL_CAP	usr/lib/mios/agent-pipe/server.py:417
MIOS_LAST_WINDOW_CAP	usr/lib/mios/agent-pipe/mios_pipe/routing/oscontrol.py:414
MIOS_LAUNCHER_SOCK	usr/share/mios/owui/pipes/mios_agent_pipe.py:1263
MIOS_LETTA_ENDPOINT	usr/lib/mios/agent-pipe/mios_pipe/memory/memory.py:186
MIOS_LETTA_MEMORY_BACKEND	usr/lib/mios/agent-pipe/mios_pipe/memory/memory.py:182
MIOS_LINT_PYTHON_LIST	automation/lint-python.sh:55
MIOS_LINUX_USER	usr/share/mios/agents/mios-forge-mirror.sh:14
MIOS_LIVE	usr/libexec/mios/deploy/iso_generate.py:47
MIOS_LLAMA_VULKAN_ZIP_SHA256	usr/share/mios/windows/mios-igpu-server.ps1:219
MIOS_LLM_CPU_ENDPOINT	usr/lib/mios/agent-pipe/mios_pipe/kernel/config.py:151
MIOS_LLM_LIGHT_ENDPOINT	usr/lib/mios/agent-pipe/mios_kvfork.py:121
MIOS_LLM_LIGHT_YAML	usr/lib/mios/agent-pipe/mios_pipe/routing/agent_call.py:776
MIOS_LLM_NUM_PREDICT_CAP	usr/lib/mios/agent-pipe/server.py:507
MIOS_LLM_NUM_PREDICT_CAP_CPU	usr/lib/mios/agent-pipe/server.py:509
MIOS_LOCAL_STATE_FASTPATH	usr/lib/mios/agent-pipe/server.py:3882
MIOS_LOG_DIR	automation/build.sh:519
MIOS_LOG_TAG	usr/lib/mios/log.sh:6
MIOS_MACHINE_IMAGE	build-mios.ps1:220
MIOS_MACHINE_TAG	build-mios.ps1:2122
MIOS_MAGIC	usr/libexec/mios/node/mios-node-wire.py:34
MIOS_MAX_DISPATCH_DEPTH	usr/lib/mios/agent-pipe/server.py:517
MIOS_MAX_SOURCES	usr/lib/mios/agent-pipe/server.py:1795
MIOS_MEMBERSHIP_WATCH	usr/lib/mios/agent-pipe/server.py:3240
MIOS_MEMBERSHIP_WATCH_INTERVAL	usr/lib/mios/agent-pipe/server.py:3244
MIOS_MEMGUARD_JUDGE_MODE	usr/lib/mios/agent-pipe/mios_pipe/access/memguard.py:51
MIOS_MICRO_MODEL	usr/lib/mios/mios_toml.py:375
MIOS_MIOSD_BIN	automation/42-chrony-render.sh:24
MIOS_MIOSFETCH_CRAWL	usr/share/mios/hermes/plugins/web/miosfetch/provider.py:52
MIOS_MIOSFETCH_CRAWL_MIN_CHARS	usr/share/mios/hermes/plugins/web/miosfetch/provider.py:18
MIOS_MIOSFETCH_CRAWL_TIMEOUT	usr/share/mios/hermes/plugins/web/miosfetch/provider.py:54
MIOS_MOCK_ENV	usr/libexec/mios/net/ptp_time_sync.py:419
MIOS_MOCK_PRIMARY_FENCED	usr/libexec/mios/db/mios-pg-replica.py:65
MIOS_MODEL_SHA256	usr/share/mios/windows/mios-ai-node.ps1:359
MIOS_MOK_KEY_B64	automation/generate-mok-key.sh:85
MIOS_MOK_KEY_PASSWORD	automation/generate-mok-key.sh:27
MIOS_MONITOR_RUNNING	usr/lib/mios/mios_toml.py:713
MIOS_MOTD_SHOWN	etc/profile.d/zz-mios-motd.sh:6
MIOS_MTLS_CN	tools/provision-agent-mtls.py:31
MIOS_MTLS_DIR	tools/provision-agent-mtls.py:30
MIOS_MULTIBLADE_ENABLE	usr/lib/mios/agent-pipe/server.py:494
MIOS_NATIVE_LOOP	usr/lib/mios/agent-pipe/server.py:3966
MIOS_NATIVE_LOOP_BREADTH_GUIDANCE	usr/lib/mios/agent-pipe/server.py:3973
MIOS_NATIVE_LOOP_CAPABILITY_GROUNDING	usr/lib/mios/agent-pipe/server.py:1488
MIOS_NATIVE_LOOP_CAPABILITY_PER_SECTION	usr/lib/mios/agent-pipe/mios_pipe/context/grounding.py:43
MIOS_NATIVE_LOOP_DATE_ANCHOR	usr/lib/mios/agent-pipe/server.py:4013
MIOS_NATIVE_LOOP_DATE_IN_QUERY	usr/lib/mios/agent-pipe/server.py:4008
MIOS_NATIVE_LOOP_MATH_HINT	usr/lib/mios/agent-pipe/server.py:4015
MIOS_NATIVE_LOOP_PERSISTENCE	usr/lib/mios/agent-pipe/server.py:3987
MIOS_NATIVE_LOOP_QUERY_REFORMULATE	usr/lib/mios/agent-pipe/server.py:4006
MIOS_NATIVE_LOOP_RECENCY_DEFAULTS	usr/lib/mios/agent-pipe/server.py:4000
MIOS_NATIVE_LOOP_RECENCY_FANOUT	usr/lib/mios/agent-pipe/server.py:4003
MIOS_NATIVE_LOOP_RECENCY_RANGE	usr/lib/mios/agent-pipe/server.py:4004
MIOS_NATIVE_LOOP_REFLECTION	usr/lib/mios/agent-pipe/server.py:3998
MIOS_NATIVE_LOOP_STREAM_CHUNK	usr/lib/mios/agent-pipe/server.py:3970
MIOS_NATIVE_LOOP_STREAM_DELAY_MS	usr/lib/mios/agent-pipe/server.py:3971
MIOS_NATIVE_LOOP_STREAM_TOKENS	usr/lib/mios/agent-pipe/server.py:3969
MIOS_NATIVE_LOOP_TIMEOUT_S	usr/lib/mios/agent-pipe/server.py:3967
MIOS_NATIVE_LOOP_TOOL_CAP	usr/lib/mios/agent-pipe/server.py:3972
MIOS_NODE_ID	usr/share/mios/k3s/generated/mios-node.yaml:20
MIOS_NODE_LIVENESS_CONNECT_S	usr/lib/mios/agent-pipe/server.py:379
MIOS_NODE_LIVENESS_TTL_S	usr/lib/mios/agent-pipe/server.py:378
MIOS_NODE_NAME	usr/libexec/mios/user/session_migrate.py:249
MIOS_NO_AUTO_CHAIN	build-mios.ps1:7960
MIOS_NO_COLOR	automation/lib/MiOS.Console.psm1:52
MIOS_NO_CONFIGURATOR	build-mios.ps1:1369
MIOS_NO_MONITOR	usr/lib/mios/mios_toml.py:713
MIOS_NO_TOOL_CHOICE_HINTS	usr/lib/mios/agent-pipe/mios_endpoints.py:24
MIOS_OCI_ARCHIVE	tools/install.sh:13
MIOS_OMP_JSON	Get-MiOS.ps1:2699
MIOS_ONLINE_BUILD	automation/06-enable-external-repos.sh:60
MIOS_OPENCODE_HOST	usr/lib/mios/agents/opencode-gateway/server.py:30
MIOS_OPENCODE_TIMEOUT	usr/lib/mios/agents/opencode-gateway/server.py:33
MIOS_OTEL_ENABLE	usr/lib/mios/agent-pipe/server.py:267
MIOS_OTEL_ENDPOINT	usr/lib/mios/agent-pipe/server.py:279
MIOS_PACKAGE_REGISTRY	automation/98-drift-checks.sh:312
MIOS_PARALLEL_TOOLS_HINTS	usr/lib/mios/agent-pipe/mios_endpoints.py:43
MIOS_PASSWORD	config/bootstrap/bootstrap.sh:57
MIOS_PASSWORD_CONFIRM	automation/build-mios.sh:70
MIOS_PASSWORD_HASH	automation/build-mios.sh:399
MIOS_PC_INPUT_SECTION	usr/lib/mios/agent-pipe/server.py:1567
MIOS_PG_BACKEND	usr/lib/mios/agent-pipe/mios_pipe/kernel/config.py:308
MIOS_PG_POOL_ENABLE	usr/lib/mios/agent-pipe/mios_pipe/memory/pg.py:273
MIOS_PG_POOL_MAX	usr/lib/mios/agent-pipe/mios_pipe/memory/pg.py:280
MIOS_PG_POOL_MIN	usr/lib/mios/agent-pipe/mios_pipe/memory/pg.py:276
MIOS_PG_URI	usr/libexec/mios/user/roaming_seat.py:83
MIOS_PHASE_EMOJIS	automation/support/hermes-discord-reactions-patch.py:12
MIOS_PHASE_TIMERS	automation/support/hermes-discord-reactions-patch.py:13
MIOS_PIPE_DIR	tools/pipe-parity-check.py:18
MIOS_PLAN_OUT	tools/generate-bake-plan.py:26
MIOS_PODMAN_PS_SNAPSHOT	etc/profile.d/mios-podman-ps.sh:15
MIOS_POD_OUT	tools/generate-pod-quadlets.py:84
MIOS_POLICIES	automation/38-selinux.sh:45
MIOS_PORT	usr/share/mios/k3s/generated/mios-node.yaml:22
MIOS_PORT_GUACAMOLE_WEB	automation/34-render-quadlets.sh:69
MIOS_PORT_HERMES_WORKER	usr/share/mios/k3s/generated/mios-ai.yaml:195
MIOS_PORT_LLM_HEAVY	usr/lib/mios/agent-pipe/mios_pipe/context/grounding.py:327
MIOS_PORT_OWUI	usr/lib/mios/agent-pipe/mios_pipe/routing/portal.py:669
MIOS_PRINCIPAL_BIND_MODE	usr/lib/mios/agent-pipe/mios_pipe/context/grounding.py:450
MIOS_PRIORITY_QUEUE	usr/lib/mios/agent-pipe/server.py:487
MIOS_PRIORITY_STARVATION_MS	usr/lib/mios/agent-pipe/server.py:490
MIOS_PROFILE_FEATURES	tools/check-role-ssot.py:21
MIOS_PROFILE_ROLE	tools/check-role-ssot.py:21
MIOS_PUBLIC_DOMAIN	usr/lib/mios/mios_toml.py:353
MIOS_PUBLIC_HOST	usr/lib/mios/mios_toml.py:344
MIOS_PYTHON_BIN	tools/check-resolver-twin.py:44
MIOS_QWEN_GGUF_SHA256	usr/share/mios/windows/mios-igpu-server.ps1:244
MIOS_RAG_BIN	usr/lib/mios/agent-pipe/server.py:1824
MIOS_RAG_HYBRID	usr/lib/mios/agent-pipe/server.py:3436
MIOS_RAG_RERANK	usr/lib/mios/agent-pipe/server.py:3437
MIOS_READ_TOOL_ENRICH_CHARS	usr/lib/mios/agent-pipe/server.py:460
MIOS_READ_TOOL_ENRICH_ENABLED	usr/lib/mios/agent-pipe/server.py:457
MIOS_READ_TOOL_ENRICH_MAX	usr/lib/mios/agent-pipe/server.py:458
MIOS_READ_TOOL_ENRICH_TIMEOUT_S	usr/lib/mios/agent-pipe/server.py:459
MIOS_REGISTRY_BIN	automation/lib/generate-packages.sh:36
MIOS_RENAME_DISTRO	build-mios.ps1:4219
MIOS_REPO	install-mios-agents.sh:14
MIOS_REPO_BRANCH	automation/build-mios.sh:197
MIOS_REPO_DIR	config/bootstrap/bootstrap.sh:23
MIOS_REPO_MP	installation/stage-mios-repo.sh:54
MIOS_REPO_ROOT	installation/mios-common.sh:10
MIOS_REPUTATION_FLUSH_S	usr/lib/mios/agent-pipe/server.py:3300
MIOS_REQUEST_CANCEL_ENABLE	usr/lib/mios/agent-pipe/server.py:512
MIOS_REQUEST_CANCEL_POLL_S	usr/lib/mios/agent-pipe/server.py:514
MIOS_REQUIRE_AGREEMENT_ACK	automation/lib/agreements-banner.sh:164
MIOS_RERANK_FANOUT	usr/lib/mios/agent-pipe/server.py:1708
MIOS_RERANK_MIN_K	usr/lib/mios/agent-pipe/server.py:1710
MIOS_RERANK_MMR_LAMBDA	usr/lib/mios/agent-pipe/server.py:1714
MIOS_RERANK_MODEL	usr/lib/mios/agent-pipe/mios_pipe/memory/pg.py:179
MIOS_RERANK_RRF_K	usr/lib/mios/agent-pipe/server.py:1712
MIOS_RERANK_SKIP_MARGIN	usr/lib/mios/agent-pipe/server.py:1716
MIOS_RERANK_URL	usr/lib/mios/agent-pipe/mios_pipe/memory/pg.py:178
MIOS_ROOT_LIB	automation/98-drift-checks.sh:1230
MIOS_ROOT_MACAROON_SECRET_KEY	usr/lib/mios/agent-pipe/macaroon_auth.py:38
MIOS_ROUTER_STRUCTURED	usr/lib/mios/agent-pipe/mios_pipe/routing/classify.py:75
MIOS_RPM_MIRROR_DIR	automation/04-local-rpm-mirror.sh:12
MIOS_RR_ENABLE	usr/lib/mios/agent-pipe/server.py:1239
MIOS_RR_MAX_SUSPENDED	usr/lib/mios/agent-pipe/server.py:1243
MIOS_RR_QUANTUM_S	usr/lib/mios/agent-pipe/server.py:1242
MIOS_RR_SLICE_TIMEOUT_S	usr/lib/mios/agent-pipe/server.py:1245
MIOS_RR_SLICE_TOKENS	usr/lib/mios/agent-pipe/server.py:1244
MIOS_RUNAWAY_REAP	usr/lib/mios/agent-pipe/server.py:675
MIOS_RUN_TEMPLATE	usr/lib/mios/agent-pipe/mios_pipe/routing/dag_exec.py:740
MIOS_SBOM_DIR	tools/generate-bake-plan.py:216
MIOS_SCHEDULE_SECTION	usr/lib/mios/agent-pipe/server.py:1561
MIOS_SCRATCHPAD_ENABLE	usr/lib/mios/agent-pipe/server.py:1742
MIOS_SCRATCHPAD_INJECT	usr/lib/mios/agent-pipe/server.py:1744
MIOS_SCRATCHPAD_MAX	usr/lib/mios/agent-pipe/server.py:1743
MIOS_SCRATCHPAD_MAX_CHATS	usr/lib/mios/agent-pipe/server.py:1748
MIOS_SCRATCHPAD_PERSIST	usr/lib/mios/agent-pipe/server.py:345
